player_id,player_name,player_job,player_god,kills,deaths,blessings,kd_ratio,score,last_position,last_battle_time,last_updated
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"497,427",2025-03-22 10:02:16,2025-03-22 18:34:14
994,l局长的大奶l,,梵天,1,0,0,1,3.0,"446,478",2025-03-22 10:11:20,2025-03-22 18:34:14
1031,Quamx,,比湿奴,1,0,0,1,3.0,"441,488",2025-03-22 09:56:09,2025-03-22 18:34:14
1031,Quamx,,比湿奴,1,0,0,1,3.0,"467,453",2025-03-22 10:11:19,2025-03-22 18:34:14
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"494,428",2025-03-22 10:01:59,2025-03-22 18:34:12
994,l局长的大奶l,,梵天,1,0,0,1,3.0,"464,461",2025-03-22 10:11:08,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"436,523",2025-03-22 09:53:40,2025-03-22 18:34:14
1031,Quamx,,比湿奴,1,0,0,1,3.0,"473,445",2025-03-22 10:11:04,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"479,432",2025-03-22 10:01:31,2025-03-22 18:34:14
4,伊人问花语,魔咒法师,比湿奴,1,0,0,1,3.0,"475,444",2025-03-22 10:11:03,2025-03-22 18:34:12
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"436,503",2025-03-22 09:55:58,2025-03-22 18:34:12
1031,Quamx,,比湿奴,1,0,0,1,3.0,"474,447",2025-03-22 10:10:49,2025-03-22 18:34:14
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"496,430",2025-03-22 10:01:15,2025-03-22 18:34:14
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"470,445",2025-03-22 10:10:44,2025-03-22 18:34:16
1031,Quamx,,比湿奴,1,0,0,1,3.0,"438,507",2025-03-22 09:54:12,2025-03-22 18:34:14
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"453,481",2025-03-22 10:10:39,2025-03-22 18:34:12
1031,Quamx,,比湿奴,1,0,0,1,3.0,"510,431",2025-03-22 10:01:09,2025-03-22 18:34:14
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"449,480",2025-03-22 10:10:23,2025-03-22 18:34:12
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"434,528",2025-03-22 09:55:29,2025-03-22 18:34:12
994,l局长的大奶l,,梵天,1,0,0,1,3.0,"454,478",2025-03-22 10:10:14,2025-03-22 18:34:14
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"501,432",2025-03-22 10:00:59,2025-03-22 18:34:12
